	filename	ATTRIBUTE_MAPID
0	200525_Mou_4h_02.mzML	MAP0
1	200525_Mou_Blank_02.mzML	MAP1
2	200525_Rat_4h_03.mzML	MAP2
3	200525_HUMAN_Blank_01.mzML	MAP3
4	200525_Dog_Blank_03.mzML	MAP4
5	200525_Dog_4h_03.mzML	MAP5
6	200525_Dog_4h_01.mzML	MAP6
7	200525_HUMAN_Blank_02.mzML	MAP7
8	200525_Mou_4h_03.mzML	MAP8
9	200525_Rat_Blank_02.mzML	MAP9
10	200525_Rat_4h_02.mzML	MAP10
11	200525_Mou_Blank_01.mzML	MAP11
12	200525_HUMAN_Blank_03.mzML	MAP12
13	200525_Dog_Blank_02.mzML	MAP13
14	200525_Mou_Blank_03.mzML	MAP14
15	200525_HUMAN_4h_02.mzML	MAP15
16	200525_HUMAN_4h_01.mzML	MAP16
17	200525_Rat_Blank_01.mzML	MAP17
18	200525_Rat_4h_01.mzML	MAP18
19	200525_HUMAN_4h_03.mzML	MAP19
20	200525_Dog_Blank_01.mzML	MAP20
21	200525_Dog_4h_02.mzML	MAP21
22	200525_Rat_Blank_03.mzML	MAP22
23	200525_Mou_4h_01.mzML	MAP23
